date,precipitation,mean_temp
01/01/2016,2.82,6.15
02/01/2016,4.41,7.18
03/01/2016,7.45,7.48
04/01/2016,0.92,8.32
05/01/2016,1.45,8.48
06/01/2016,10.56,7.28
07/01/2016,3.38,8.04
08/01/2016,1.85,5.59
09/01/2016,6.55,8.16
10/01/2016,15.28,7.33
11/01/2016,0.15,5.99
12/01/2016,0.59,5.5
13/01/2016,3.16,4.84
14/01/2016,0.21,3.63
15/01/2016,0,3.51
16/01/2016,3.65,2.7
17/01/2016,0.05,2.3
18/01/2016,0,3.04
19/01/2016,0.06,2.11
20/01/2016,0.07,2.3
21/01/2016,0.15,3.37
22/01/2016,2.88,6.51
23/01/2016,1.78,8.19
24/01/2016,0,10.38
25/01/2016,0,11.8
26/01/2016,3.8,9.32
27/01/2016,1.65,11.25
28/01/2016,0.01,7.06
29/01/2016,5.43,7.67
30/01/2016,0.25,7.98
31/01/2016,1.82,8.76
01/02/2016,0.01,10.06
02/02/2016,0.01,9.3
03/02/2016,0.28,5.79
04/02/2016,0.52,8.79
05/02/2016,0.4,10.12
06/02/2016,5.8,10.79
07/02/2016,13.94,7.39
08/02/2016,0.88,7.77
09/02/2016,0.29,6.11
10/02/2016,0.13,6.68
11/02/2016,0.08,4.34
12/02/2016,0,3.29
13/02/2016,3.93,3.58
14/02/2016,0,4.61
15/02/2016,0,3.7
16/02/2016,0.07,3.27
17/02/2016,8.22,3.75
18/02/2016,0,5.97
19/02/2016,0.7,4.95
20/02/2016,2.21,7.68
21/02/2016,3.52,12.05
22/02/2016,0.79,8.71
23/02/2016,0.01,6.9
24/02/2016,0.01,4.4
25/02/2016,0,2.83
26/02/2016,0,4.5
27/02/2016,0,4.41
28/02/2016,0,5.47
29/02/2016,0.23,5.22
01/03/2016,6.13,8.9
02/03/2016,3.21,5.92
03/03/2016,3.02,6.7
04/03/2016,0.07,5.54
05/03/2016,0.63,3.87
06/03/2016,0.54,4.03
07/03/2016,0,4.41
08/03/2016,12.13,3.99
09/03/2016,4.69,6.84
10/03/2016,0.42,7.56
11/03/2016,0,6.3
12/03/2016,0,8.01
13/03/2016,0,6.95
14/03/2016,0,7.65
15/03/2016,0.01,5.88
16/03/2016,0.23,7.97
17/03/2016,0,7.17
18/03/2016,0,4.85
19/03/2016,0.07,6.66
20/03/2016,0,8.12
21/03/2016,0,9.36
22/03/2016,0,8.41
23/03/2016,0,8.38
24/03/2016,9.12,8.55
25/03/2016,0,11.54
26/03/2016,4.53,10.64
27/03/2016,20.62,9.02
28/03/2016,2.79,8.63
29/03/2016,6.77,9.03
30/03/2016,0.03,9.06
31/03/2016,0,9.24
01/04/2016,0,8.1
02/04/2016,3.4,11.94
03/04/2016,1.3,12
04/04/2016,1.12,11.39
05/04/2016,0.35,11.79
06/04/2016,0.57,9.77
07/04/2016,1.27,8.77
08/04/2016,2.33,9.16
09/04/2016,0.01,9.34
10/04/2016,0.22,7.85
11/04/2016,7.29,12.14
12/04/2016,0.01,12.78
13/04/2016,1.12,11.58
14/04/2016,4.44,12.41
15/04/2016,14.27,11.28
16/04/2016,0.2,7.22
17/04/2016,0,7.26
18/04/2016,0,8.21
19/04/2016,0,12.45
20/04/2016,0,9.6
21/04/2016,0,11.38
22/04/2016,5.72,9.67
23/04/2016,0.8,7.36
24/04/2016,0.44,6.7
25/04/2016,1.66,9.17
26/04/2016,0.13,6.45
27/04/2016,3.78,6.66
28/04/2016,1.75,6.76
29/04/2016,1.42,8.64
30/04/2016,0.01,7.7
01/05/2016,0,9.94
02/05/2016,0.09,14.07
03/05/2016,0,10.47
04/05/2016,0,11.81
05/05/2016,0,14.32
06/05/2016,0,15.83
07/05/2016,0,18.33
08/05/2016,0,20.17
09/05/2016,5.85,19.69
10/05/2016,16.12,16.06
11/05/2016,7.67,17.26
12/05/2016,0,18.08
13/05/2016,0,14.66
14/05/2016,0,11.04
15/05/2016,0,11.63
16/05/2016,0,13.37
17/05/2016,0.02,13.23
18/05/2016,5.01,13.34
19/05/2016,0.01,14.77
20/05/2016,0.07,16.29
21/05/2016,0.09,15.63
22/05/2016,0.34,15.49
23/05/2016,0.25,14.96
24/05/2016,0,12.52
25/05/2016,0,12.21
26/05/2016,0,14.44
27/05/2016,0.38,16.2
28/05/2016,0,15.54
29/05/2016,0,14.51
30/05/2016,9.49,14.72
31/05/2016,7.81,12.19
01/06/2016,0.46,12.24
02/06/2016,0.07,11.59
03/06/2016,0,11.54
04/06/2016,0,14.62
05/06/2016,0,17.73
06/06/2016,0,17.4
07/06/2016,4.7,18.35
08/06/2016,8.8,19.69
09/06/2016,0,17.44
10/06/2016,1.47,18.63
11/06/2016,1.05,18.83
12/06/2016,6.09,17.49
13/06/2016,5.17,16.63
14/06/2016,6.82,15.93
15/06/2016,1.31,15.67
16/06/2016,6.21,16.4
17/06/2016,8.02,16.33
18/06/2016,0,14.94
19/06/2016,10.53,16.51
20/06/2016,5.84,18.71
21/06/2016,0.01,17.84
22/06/2016,36.04,18.21
23/06/2016,4.12,19.74
24/06/2016,0.09,17.28
25/06/2016,1.54,16.33
26/06/2016,3.21,16.54
27/06/2016,0,18.06
28/06/2016,2.39,16.11
29/06/2016,1.6,14.21
30/06/2016,0.85,17.08
01/07/2016,1.15,16.88
02/07/2016,5.33,15.37
03/07/2016,0,15.84
04/07/2016,0.01,16.58
05/07/2016,0,18.19
06/07/2016,0.01,16.9
07/07/2016,0,18.81
08/07/2016,0,19.16
09/07/2016,0,19.24
10/07/2016,0.02,19.86
11/07/2016,1.4,18.49
12/07/2016,10.66,15.93
13/07/2016,0.2,15.76
14/07/2016,0,16.73
15/07/2016,0,15.39
16/07/2016,0,21.59
17/07/2016,0.01,22.65
18/07/2016,0,22.6
19/07/2016,0,24.7
20/07/2016,0,26.1
21/07/2016,0.91,19.61
22/07/2016,0.35,21.27
23/07/2016,0,21.47
24/07/2016,0.18,19.68
25/07/2016,0,19.33
26/07/2016,1.32,18.01
27/07/2016,0.02,20.54
28/07/2016,1.38,18.7
29/07/2016,0.57,19.49
30/07/2016,0.01,18.91
31/07/2016,0,18.14
01/08/2016,10.3,15.67
02/08/2016,3.8,17.58
03/08/2016,0,20.88
04/08/2016,0.02,18.65
05/08/2016,0,18.3
06/08/2016,0,19.36
07/08/2016,0,21.49
08/08/2016,0,17.97
09/08/2016,0,15.85
10/08/2016,0,15.64
11/08/2016,0,18.64
12/08/2016,0,20.5
13/08/2016,0,19.73
14/08/2016,0,19.45
15/08/2016,0,17.9
16/08/2016,0,18.28
17/08/2016,0,19.34
18/08/2016,0.21,20.22
19/08/2016,2.05,18.14
20/08/2016,3.03,17.99
21/08/2016,0.48,18.45
22/08/2016,0,20.53
23/08/2016,0,21.61
24/08/2016,0.26,24.89
25/08/2016,0.56,23.4
26/08/2016,0,22.26
27/08/2016,0.01,20.97
28/08/2016,1.28,19.22
29/08/2016,0,19.59
30/08/2016,0,19.16
31/08/2016,0,17.85
01/09/2016,0,18.57
02/09/2016,0.03,17.37
03/09/2016,4.39,16.41
04/09/2016,3.17,18.34
05/09/2016,0.01,18.38
06/09/2016,0,19.63
07/09/2016,0,23.21
08/09/2016,0,19.4
09/09/2016,0.42,19.02
10/09/2016,3.84,19.02
11/09/2016,0,15.64
12/09/2016,0,18.63
13/09/2016,0,24.33
14/09/2016,0,23.82
15/09/2016,14.66,22.88
16/09/2016,1.61,17.16
17/09/2016,0.01,14.96
18/09/2016,0,16.7
19/09/2016,0.31,16.89
20/09/2016,0,16.84
21/09/2016,0,18.64
22/09/2016,0.04,17.18
23/09/2016,0,14.42
24/09/2016,1.13,17.21
25/09/2016,0.01,17.71
26/09/2016,0.15,14.19
27/09/2016,0,14.99
28/09/2016,0.07,17.56
29/09/2016,1.88,17.79
30/09/2016,3.95,14.66
01/10/2016,3.28,13.17
02/10/2016,0,14.01
03/10/2016,0,12.47
04/10/2016,0,14.22
05/10/2016,0,14.72
06/10/2016,0.01,13.32
07/10/2016,0.02,13.66
08/10/2016,0.23,14.36
09/10/2016,0.37,12.6
10/10/2016,0.03,10.75
11/10/2016,0.47,11.48
12/10/2016,3.47,12.43
13/10/2016,0.01,11.43
14/10/2016,0.01,11.6
15/10/2016,8.91,13.5
16/10/2016,5.03,13.24
17/10/2016,2.89,13.65
18/10/2016,0,11.58
19/10/2016,0,11.19
20/10/2016,0.03,11.94
21/10/2016,0.01,11.28
22/10/2016,0.01,10.89
23/10/2016,0,10.24
24/10/2016,0.02,11.46
25/10/2016,0.01,12.19
26/10/2016,0,12.92
27/10/2016,0,12.52
28/10/2016,0,13.47
29/10/2016,0.01,14.21
30/10/2016,0,10.87
31/10/2016,0.01,14.41
01/11/2016,0.02,9.94
02/11/2016,0,7.04
03/11/2016,0.07,6.53
04/11/2016,6.77,7.59
05/11/2016,0,5.99
06/11/2016,2.17,5
07/11/2016,0,6.27
08/11/2016,25.58,3.55
09/11/2016,0.46,5.08
10/11/2016,2.5,7.01
11/11/2016,3.48,7.49
12/11/2016,6.26,7.57
13/11/2016,0.22,8.24
14/11/2016,0.8,9.07
15/11/2016,0.65,12.24
16/11/2016,3.09,12.79
17/11/2016,0.59,10.1
18/11/2016,0,5.36
19/11/2016,23.19,5
20/11/2016,11.17,5.64
21/11/2016,7.25,9.12
22/11/2016,0.03,10.24
23/11/2016,0,8.19
24/11/2016,0,9.03
